飞周兄弟 | 还不认亲? | non-hate | non-hate [END]
底层男人 | 娶不到处女 | Sexism | hate [END]
那三个默 | 应该会被判刑法十到二十年左右 | Racism | hate [END]
wb | 纯杀软 | non-hate | non-hate [END]
江苏 | 脾气就这样 | non-hate | non-hate [END]
歪国敌特和网特分裂势力 | 要彻底解决歪门邪道者绝缘 | Racism | hate [END]
这个华裔警察 | 什么也没做吧,怎么被判刑了 | non-hate | non-hate [END]
黑北京的 | 哪有黑上海的多 | Region | hate [END]
东北 | 老传统艺能了 | non-hate | non-hate [END]
十八线小城 | 有几个外国人? | non-hate | non-hate [END]
河南人 | 最了解被地域黑的痛苦,所以也最不喜欢地域黑别人 | Region | hate [END]
我 | 反同组织和同性恋对抗到底 | LGBTQ | hate [END]
西安人 | 死绝 | non-hate | non-hate [END]
辽宁 | 真没资格鄙视中部 | non-hate | non-hate [END]
这女的 | 贵物 | Sexism | hate [END]
同性恋 | 用大便来形容 | LGBTQ | hate [END]
你 | 很狭隘的 | non-hate | non-hate [END]
中国男人 | 不配我们中国女人 | Sexism | hate [END]
NULL | 一个二次元网站引流一堆慕刃把环境都搞臭了 | Sexism | hate [END]
敢占我们便宜的 | 都得死 | non-hate | non-hate [END]
简单明了的例子 | 秒啊 | non-hate | non-hate [END]
中国男女对立 | 只存在网络上 | non-hate | non-hate [END]
tg | 有攒劲的节目 | non-hate | non-hate [END]
广东人 | 长得好看 | non-hate | non-hate [END]
你 | 既然觉得你是对的,就不要隐瞒啊 | non-hate | non-hate [END]
她们 | 牛逼的那么多那我也很牛逼 | Sexism | hate [END]
河北 | 最没有存在感 | non-hate | non-hate [END]
你 | 写的这是玄幻小说吧 | non-hate | non-hate [END]
黑人的古龙水发臭的东西 | 在黑人聚集地发散开 | Racism | hate [END]
贵州 | 不是我们穷就是素质差 | Region | hate [END]
恐同 | 皆深柜实锤 | LGBTQ | hate [END]
基佬 | 一堆屎,没几个好东西,都是些心里变态的货 | LGBTQ | hate [END]
炸鸡 | 好吃的炸鸡 | non-hate | non-hate [END]
女人 | 呵呵 | Sexism | hate [END]
同性的表白 | 排斥同性的表白 | LGBTQ | hate [END]
女人 | 无辈分 | Sexism | hate [END]
印度高种姓女人 | 颜值不差,就是东南亚矮小女人混血白人的 | Sexism, Racism | hate [END]
我们 | 资本说白了就是一只蚂蚁而已,想捏死就捏死,连个p都不算 | non-hate | non-hate [END]
txl | 再不管管,气候变暖又要加重了 | non-hate | non-hate [END]
我 | 直接承认我不是男人 | non-hate | non-hate [END]
他们 | 管不了他们 | non-hate | non-hate [END]
NULL | 一片一般是早高峰的上班狗 | non-hate | non-hate [END]
鬼母 | 跟几个还在苟延残喘 | Sexism | hate [END]
默 | 被默玩腻了就会找老实人接盘 | Racism | hate [END]
处女崇拜 | 很大群体了,可不能随便忽略不计. | Sexism | hate [END]
男人 | 啥都指望男人也配谈女权和男女平等 | Sexism | hate [END]
腐癌 | 他们根本就不支持同性恋,他们只是想看两个帅哥谈恋爱 | LGBTQ | hate [END]
你 | 歧视男的,打女拳?就你们女的能扭? | Sexism | hate [END]
艾 | 艾呀,梅事的 | LGBTQ | hate [END]
井底之蛙 | 罢了 | non-hate | non-hate [END]
我们中国 | 真是太强啦 | non-hate | non-hate [END]
君子 | 和而不同 | non-hate | non-hate [END]
河南人 | 不能以偏概全,每个地方都会有坏人的 | non-hate | non-hate [END]
没有男的 | 会喜欢你 | non-hate | non-hate [END]
我 | 黑人有很多漂亮的985/211中国女友 | non-hate | non-hate [END]
某基佬 | 不会蒙面穿衣服发照了 | LGBTQ | hate [END]
你们 | 爱快乐地互相伤害互相传播疾病的怪物 | LGBTQ | hate [END]
猪精 | 网上挑起性别对立的基本都是猪精 | non-hate | non-hate [END]
基佬 | 应该用hiv当旗子 | LGBTQ | hate [END]
你 | 生活如意 | non-hate | non-hate [END]
兄弟 | 去微博冲 | non-hate | non-hate [END]
上海 | 被排外多么严重啊 | Region | hate [END]
txl | 没吗 | non-hate | non-hate [END]
它 | 应该多融合 | Sexism | hate [END]
优秀人才 | 另当别论 | non-hate | non-hate [END]
她 | 顺从她就好了 | non-hate | non-hate [END]
答主 | 喷人也不违法 | non-hate | non-hate [END]
我们班的上海人 | 拿鼻孔看人的(生理意义上) | Region | hate [END]
黑人 | 宁可娶二婚也绝对不要跟黑人在一起过的 | Racism | hate [END]
南方 | 现在在争取互相取暖 | non-hate | non-hate [END]
舔狗 | 赶紧去死吧 | Sexism | hate [END]
你们江北 | 不也说安徽,江西 | Region | hate [END]
这波 | 愚蠢的山姆 | non-hate | non-hate [END]
这句话 | 到底出处啊 | non-hate | non-hate [END]
会打鼓的人 | 都很带劲 | non-hate | non-hate [END]
基佬 | 罪证合集 | LGBTQ | hate [END]
同性恋 | 断子绝孙了 | LGBTQ | hate [END]
我 | 能不能让我透 | non-hate | non-hate [END]
韩国人 | 娘炮。。 | Region | hate [END]
腐女 | 乱磕cp | LGBTQ | hate [END]
女拳主义 | 反对女拳主义,平等 | Sexism | hate [END]
美国黑人马丁路德金 | 非常厉害的 | Racism | hate [END]
某些中国女人 | 被黑人玩 | Sexism, Racism | hate [END]
河南 | 跟安徽都是穷省,外出打工的人多,所以就成了被黑的对象 | Region | hate [END]
电脑 | 不能投票? | non-hate | non-hate [END]
我 | 高级黑吗 | non-hate | non-hate [END]
腐女 | 大部分是腐女 | Sexism | hate [END]
黑龙江 | 被黑龙江所谓“老乡”背了多少黑锅 | Region | hate [END]
甘肃人 | 真的没有存在感 | Region | hate [END]
齐齐哈尔人 | 也考来了抚顺,也听过类似的言论,呵 | Region | hate [END]
这个垃圾 | 天天刷屏 | non-hate | non-hate [END]
黑人 | 人均寿命黑人第一 | Racism | hate [END]
这女的 | 快手号多少 | non-hate | non-hate [END]
仙女 | 放大屁 | Sexism | hate [END]
母畜 | 也就母畜能干得出来这种事 | Sexism | hate [END]
这些类人猿 | 繁殖速度太快,消灭不了呀! | Racism | hate [END]
一个女大学生 | 真太不知廉耻了! | Sexism | hate [END]
湖北 湖南 河南 | 大概率不会愿意和西部玩的 | Region | hate [END]
华夏民族和非洲民族 | 智商相差1000代人的进化 | non-hate | non-hate [END]
河南和东北 | 被黑的很大原因是口音 | Region | hate [END]
马丁路德金 | 很伟大 | non-hate | non-hate [END]
国际母狗 | 总是那么迷之自信 | Sexism | hate [END]
女性 | 不婚不育还是太少了 | Sexism | hate [END]
以色列 | 生育率居然这么高人家还是发达国家 | non-hate | non-hate [END]
男性 | 现在网络上有多少人都宣传自己为男性考虑,会独立思考,结果看到小作文就脑子都不要了 | Sexism | hate [END]
女性 | 破坏童贞现象的兴起根源于该地区的艾滋病毒传播 | Sexism, Racism | hate [END]
老子 | 秃 | non-hate | non-hate [END]
韩国 | 现在只有俄罗斯 | non-hate | non-hate [END]
现在结婚的 | 还是太多了 | non-hate | non-hate [END]
这 | 太不公平了 | non-hate | non-hate [END]
它们 | 只会骂中国男性,跌跪舔还来不及呢 | Sexism | hate [END]
吃狗肉没问题 | Racism | hate [END]
他 | 真丢人 | LGBTQ | hate [END]
男宝 | 不给男宝性,男宝会爱她吗? | Sexism | hate [END]
百度 | 正义的百度 | non-hate | non-hate [END]
河南 | 担吗 | non-hate | non-hate [END]
任何话 | 有一定道理的🤣🤣🤣 | non-hate | non-hate [END]
黑人 | 用粤语屌他啊 | Racism | hate [END]
她 | 恶心加反胃! | Sexism, Racism | hate [END]
动物袭击 | 直接击毙就好了 | non-hate | non-hate [END]
这种货色 | 不拉到没人的地方一顿输出 | non-hate | non-hate [END]
上海 | 歧视北京23333 | Region | hate [END]
坏蛋 | 坏蛋里坏蛋的比例 | non-hate | non-hate [END]
黑蛆 | 无孔不入 | Racism | hate [END]
我们的子女 | 白白的精致 | non-hate | non-hate [END]
新疆人 | 坑人的太多 | Region | hate [END]
同性 | 乱搞感染的都是活该 | LGBTQ | hate [END]
黑鬼 | 怎么不去把黑鬼都灭了 | Racism | hate [END]
默 | 滚出中国就行了。 | Racism | hate [END]
山东 | gdp第三 | non-hate | non-hate [END]
女权 | 给女权钻空子 | Sexism | hate [END]
人家 | 坏坏不抹黑这个群体 | non-hate | non-hate [END]
广西人 | 脸圆鼻子塌 | non-hate | non-hate [END]
我 | 活了十八年真的没看到穿紧身裤豆豆鞋的啊 | non-hate | non-hate [END]
这事 | 只能黑客干 | non-hate | non-hate [END]
女的 | 看得上药娘? | Sexism | hate [END]
你 | 这一看就是祖国哪里需要你,你就去哪里 | non-hate | non-hate [END]
非洲 | 有受教育这一说? | Racism | hate [END]
买媳妇 | 东南亚和朝鲜的吧,起码不是黑人 | Racism | hate [END]
感性 | 人总是趋向于自我强化而不是打破自我 | non-hate | non-hate [END]
中国的男艾滋病人 | 基本上全是同志 | non-hate | non-hate [END]
黑皮 | 与为伍就是自甘堕落 | Racism | hate [END]
找黑的 | 比失足女差远了 | Sexism, Racism | hate [END]
舔狗 | 不得** | Sexism | hate [END]
任何形式的歧视都应该被杜绝 | non-hate | non-hate [END]
她们 | 一口一个生育导致玻璃天花板 | Sexism | hate [END]
慈溪 | 很多厂子都不招贵州人 | non-hate | non-hate [END]
广西的 | 默默刷评论默默走开 | non-hate | non-hate [END]
国女 | 不少就被这种所谓戒指骗的 | Sexism | hate [END]
黑人 | 要发声 | Racism | hate [END]
这个要求 | 真不过分 | non-hate | non-hate [END]
她 | 天天打钕拳我直接把她删了 | Sexism | hate [END]
B站 | 圣母婊和政治正确 | non-hate | non-hate [END]
楼主 | 很在乎 | non-hate | non-hate [END]
东北 | 感谢唐山以前说黑社会联想地名绝对是东北 | Region | hate [END]
反同者 | 炫耀自己骗了一位同性恋,内容之恶劣令人发指 | LGBTQ | hate [END]
摩洛哥 | 不知道她后面还能找到老公么 | Sexism, Racism | hate [END]
小人 | 难养也 | non-hate | non-hate [END]
你们 | 活该罢了 | non-hate | non-hate [END]
上海 | 被黑的最惨的还是白完 | Region | hate [END]
洋人 | 真高贵 | Region | hate [END]
东北人 | 热情、爽快、好客啊 | non-hate | non-hate [END]
你 | 还在上海吗? | non-hate | non-hate [END]
hiv吧 | 艾滋基佬 | LGBTQ, others | hate [END]
同性恋 | 鄙视 | LGBTQ | hate [END]
东亚和欧洲 | 生育率最低 | non-hate | non-hate [END]
老一辈 | 确实很多外地穷的地方来的 | non-hate | non-hate [END]
wj军官 | 上升空间很大 | non-hate | non-hate [END]
东北三省 | 被一同称呼 | non-hate | non-hate [END]
黑人 | 唱Rap比国内的rapper们正宗些 | non-hate | non-hate [END]
广东 | 最爱地域黑 | Region | hate [END]
直佬们 | 早点纠正取向是最好的出路 | LGBTQ | hate [END]
女性 | 颠倒黑白真的有一手 | Sexism | hate [END]
这个帖子 | 被删了视频找不到了 | non-hate | non-hate [END]
人家 | 就凭人家懂得共情 | non-hate | non-hate [END]
上海 | 歧视北京很严重的呀 | Region | hate [END]
嗨人 | 好人 | non-hate | non-hate [END]
作奸犯科 | 歧视 | Racism | hate [END]
黑种人 | 基因顽强是有目共睹的 | Racism | hate [END]
他 | 在黑我们吗? | non-hate | non-hate [END]
黑哥 | 居然就这样 | Racism | hate [END]
黑人白人 | 受不了半夜被狐臭熏醒的感觉 | Sexism, Racism | hate [END]
他们 | 黑江浙人小气,黑江浙人小气,黑江浙人小气,黑江浙人小气 | Region | hate [END]
那些双标的男人 | 好多了 | non-hate | non-hate [END]
我 | 还在杭州等你呢,妖怪你在哪里? | non-hate | non-hate [END]
杨笠 | 看见杨笠这司马脸就觉得恶心 | Sexism | hate [END]
浪子 | 浪子回头是好事 | non-hate | non-hate [END]
你对象 | 你对象找找了吗 | non-hate | non-hate [END]
黑人 | 中国人的审美很难认为黑人帅吧 | Racism | hate [END]
这男的 | 在家表现,一直很差吧 | non-hate | non-hate [END]
上海人 | 好卑微一上海人啊 | non-hate | non-hate [END]
微博豆瓣小红书 | 哪个不是女性的天下 | Sexism | hate [END]
广西人 | 有几个广西人跑调的? | non-hate | non-hate [END]
你 | 你自己自尊自强谁会不尊重你 | non-hate | non-hate [END]
上海人 | 最被歧视的是上海人 | Region | hate [END]
美国 | 也搞和谐 | non-hate | non-hate [END]
白男 | 为了追小仙女玩极限运动,命都没了吗? | Sexism, Racism | hate [END]
正确的通讯录 | 素这样的 | non-hate | non-hate [END]
田园女权 | 怎么就男女对立了 | non-hate | non-hate [END]
上海人 | 表示不对 | non-hate | non-hate [END]
粿 | 活剐可以剐几刀呀 | non-hate | non-hate [END]
上海人 | 黑安徽真的很厉害 | Region | hate [END]
东北 | 比你上海惨多了 | non-hate | non-hate [END]
江西 | 彩礼确实是真高 | non-hate | non-hate [END]
抢东西 | 是真的 | non-hate | non-hate [END]
一部分女的 | 被黑人包养 | Sexism, Racism | hate [END]
外国人 | 崇媚洋外 | Sexism, Racism | hate [END]
北京人 | 你笑死我了 | non-hate | non-hate [END]
法国 | 前车之鉴 | non-hate | non-hate [END]
我 | 讨厌血缘和宗亲的疏离感也有过 | non-hate | non-hate [END]
LKD | 又一个LKD | Sexism | hate [END]
你姐妹 | 支持你姐妹 | non-hate | non-hate [END]
男权吧 | 也有渣滓 | non-hate | non-hate [END]
这些人 | 真恶心 | Racism | hate [END]
我 | 还想以后去哈尔滨定居 | non-hate | non-hate [END]
它 | 感染HIV已经两年 | non-hate | non-hate [END]
黄巢的人 | 从唐代穿越来进了了一波收割挽狂澜于既倒,扶大厦之将倾 | Region | hate [END]
豆瓣 | 女拳掌控的 | Sexism | hate [END]
洋垃圾和eg | 确实该喷... | Racism | hate [END]
国女 | 世界少有的非洲、印度、巴基斯坦。通通通通咽得下去 | Sexism, Racism | hate [END]
同性恋 | 也可以和异性结婚 | LGBTQ | hate [END]
找白人女友的 | 基本上被默默地排除出去了 | non-hate | non-hate [END]
男人 | 可以dy了吗? | non-hate | non-hate [END]
50一位 | 稳定工资 | non-hate | non-hate [END]
反同 | 靠同性恋 | LGBTQ | hate [END]
黑人 | 屠杀黑人屠杀犹太人 | Racism | hate [END]
河南 | 有个屁的存在感 | non-hate | non-hate [END]
他 | 既然都是局内人那就不予评价 | non-hate | non-hate [END]
你 | 买的吧 | non-hate | non-hate [END]
大伙 | 集合了 | non-hate | non-hate [END]
陕西 | 印象急速滑坡 | non-hate | non-hate [END]
崇洋媚外的 | 都走最好 | non-hate | non-hate [END]
泰迪家族 | 嘛i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了i了 [END]
微博 | 对标的是虎扑 | non-hate | non-hate [END]
黑咋种老 | 也是无语了! | Racism | hate [END]
35以下的河南人 | 我警惕性一下子就起来了 | non-hate | non-hate [END]
你 | 和那些黑人也差不到哪里去 | Sexism, Racism | hate [END]
国男 | 压抑太久了 | Sexism | hate [END]
你 | 想表达什么 | non-hate | non-hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的错吗 | non-hate | non-hate [END]
东北 | 最大的不幸就是被满清文化绑定了 | Region | hate [END]
慕勾 | 是这样的 | Sexism | hate [END]
衡水 | 就是没人性 | non-hate | non-hate [END]
你 | 人家惹你了吗 | Racism | hate [END]
女士 | 不是男女平等 | non-hate | non-hate [END]
自嗨型基佬 | 嗨出优越,嗨出优越,嗨出高潮 | LGBTQ | hate [END]
这波 | 是否是虚空立靶了? | non-hate | non-hate [END]
国女 | 配不上国女🤣 | Sexism | hate [END]
想胡搅蛮缠玩文字游戏的孩子 | 我就不奉陪了哈️ | non-hate | non-hate [END]
库里 | 真不错 | non-hate | non-hate [END]
黑龙江人 | 天天东北东北,都忘了自己叫黑龙江了吧 | Region | hate [END]
你 | 让我滚就滚? | non-hate | non-hate [END]
你 | 不安于现状,寻求生活的突破 | non-hate | non-hate [END]
她 | 中路不发信号导致我被对面抓了然后她来这出? | non-hate | non-hate [END]
黑娃 | 单亲,带黑娃,怎么也会被人说的,被人疏远的 | Racism | hate [END]
你这类人 | 形容你这类人 | non-hate | non-hate [END]
女权的泛滥 | 在加速这种趋势 | Sexism | hate [END]
同省的人 | 特别热情 | Region | hate [END]
同概念 | 用来混乱世界的 | LGBTQ | hate [END]
他说的 | 难道不是事实? | non-hate | non-hate [END]
女的 | 一告就众叛亲离被人嘲笑 | Sexism | hate [END]
男人 | 穿什么裙子,很变态 | non-hate | non-hate [END]
他 | 不承认他是中国人! | non-hate | non-hate [END]
美女的对象 | 鲜肉帅哥 | non-hate | non-hate [END]
中国女人 | 名声搞臭了 | Sexism | hate [END]
异性恋 | 也有被骚扰的时候 | non-hate | non-hate [END]
京津 | 东北黑的大本营 | Region | hate [END]
妇女节 | 已经不叫妇女节了 | non-hate | non-hate [END]
男性 | 罪大恶极的 | non-hate | non-hate [END]
曹木琴 | 二次元喜欢 | non-hate | non-hate [END]
洋人 | 别被抛弃了又找国人接盘 | Racism | hate [END]
杨靖宇将军 | 河南确山人 | non-hate | non-hate [END]
NBA球星 | 我们不能歧视NBA球星? | non-hate | non-hate [END]
东北 | 被认为素质差 黑社会  | Region | hate [END]
幕刃 | 欠剐 | Sexism | hate [END]
这种人 | 三观一般都是有问题的 | non-hate | non-hate [END]
人家 | 高贵的小仙女,可不能惹捏 | Sexism | hate [END]
荷官 | 就不黑了 | Region | hate [END]
拿学历说事的 | 喷我 | non-hate | non-hate [END]
他 | gay | LGBTQ | hate [END]
东亚小女孩和白人小女孩的照片 | 打他脸吗 | non-hate | non-hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non-hate | non-hate [END]
你们 | 我就默默看着你们使劲媚外 | non-hate | non-hate [END]
黑人 | 连最起码温饱解决不了 | Racism | hate [END]
报团,喝酒,赌博,聚众打架的这些人 | 哪个地方会欢迎? | non-hate | non-hate [END]
他妈 | 黑哪里都是黑自己 | Racism | hate [END]
你们 | 没几年就被艾滋病战胜了 | non-hate | non-hate [END]
世界女权 | 在故意抹黑中国女性 | Sexism | hate [END]
黑豹 | 拍的真一般 | Racism | hate [END]
河南东北 | 地域黑最严重的河南东北 | Region | hate [END]
黄皮肤的人 | 不要看到黄皮肤的人就认为是中国人 | Racism | hate [END]
姓生火 | 质量低无激情 | Sexism | hate [END]
河南人 | 坏 | Region | hate [END]
黑人 | 全国到处是黑人,当然我必须拍黑人的马屁! | Racism | hate [END]
我 | 先上为敬 | non-hate | non-hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能不是开玩笑的不是开玩笑的 | Racism | hate [END]
SB发言 | 逆天程度 | Sexism | hate [END]
黑奴 | 都不把黑奴当人 | Racism | hate [END]
河南 | 太惨了 | non-hate | non-hate [END]
潮汕 | 潮汕彩礼也天下第一 | non-hate | non-hate [END]
中国人 | 团结一点 | non-hate | non-hate [END]
西南 | 确实比有暖气的西南冷很多 | non-hate | non-hate [END]
那些人 | der | non-hate | non-hate [END]
男性主义团体 | 倡导他们杜绝与女人发生严肃认真的恋爱关系,尤其是婚姻关系 | Sexism | hate [SEP] 男性群体 | 选择了以个人为重的生活方式,一种追求自我生活 | Sexism | hate [END]
喜欢吃屎的人 | 大傻逼你就有问题 | non-hate | non-hate [END]
该干啥的崽子 | 落地直接走人 | non-hate | non-hate [END]
失足妇女 | 还赶不上失足妇女,失足都不接默 | Sexism | hate [END]
基佬 | 都是没素质,没教养的人 | LGBTQ | hate [END]
这人 | 真逗儿 | non-hate | non-hate [END]
我 | 报告网警了 | non-hate | non-hate [END]
这个狗货 | 给私信关了 | non-hate | non-hate [END]
江西 | 彩礼高 | non-hate | non-hate [END]
中立的吧主 | 会是不男不女的双性恋? | non-hate | non-hate [END]
小仙女 | 工资还不够买防晒霜 | Sexism | hate [END]
几个城市 | 不敢交往 | non-hate | non-hate [END]
女生 | 本来就比男的懒这是常识好吧 | Sexism | hate [END]
湖南人 | 把你家端了,还把你老婆带走了啊 | Region | hate [END]
兄弟们 | 原来真有荣誉女人 | Sexism | hate [END]
东北 | 被黑是最惨的 | Region | hate [END]
那个傻卵 | 反串的理客中阴阳人 | LGBTQ | hate [END]
洋大人 | 你配用? | non-hate | non-hate [END]
基佬 | 艾滋病的传染概率 | LGBTQ | hate [END]
山西人 | 让他往鼻子里捅卫生纸,拿出来是黑色的就是山西人 | Region | hate [END]
女同 | 饺子不爱吃皮儿 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | non-hate | non-hate [END]
黑人 | 黑人也美国国家内部的人民 | Racism | hate [END]
幕刃 | 召唤舔狗就算了 | Sexism | hate [END]
杂种 | 下贱的杂种 | non-hate | non-hate [END]
欧美男友 | 肯定有游艇,包括车房这种小case自然也不在话下 | non-hate | non-hate [END]
一只蟑螂 | 阴处已经挤不下了 | non-hate | non-hate [END]
黑龙江人 | 对河南这么大怨念我也真是理解不了 | Region | hate [END]
和族基因 | 拉低和族基因了 | non-hate | non-hate [END]
整个东北人 | 垃圾,低劣的种族,应该灭绝的地步 | Region | hate [END]
高中沐勾 | 可不少 | non-hate | non-hate [END]
江西 | 也被黑啊 | non-hate | non-hate [END]
你 | 说的这个家伙也不来了 | non-hate | non-hate [END]
黑小子们 | 要黑小子搞出去,总是有办法的 | Racism | hate [END]
答主这样的男同 | 三观不正,素质极差的人占大多数 | LGBTQ | hate [END]
性方面 | 也是比不了的 | non-hate | non-hate [END]
小姐 | 从良,不要媚外ez | Sexism | hate [END]
我 | 终于能说话了 | non-hate | non-hate [END]
河南 | 分数线在那儿管着... | non-hate | non-hate [END]
艾兹病毒 | 入脑了 | non-hate | non-hate [END]
山东 | 是要好一些 | non-hate | non-hate [END]
它 | 精神有问题的费五 | non-hate | non-hate [END]
河南朋友 | 确实不错,能处 | non-hate | non-hate [END]
莫利安人 | 是这样的 | non-hate | non-hate [END]
东北人 | 被河南人睡 不亏 | non-hate | non-hate [END]
这种事 | 完全无感 | non-hate | non-hate [END]
它们 | 全球所有世纪传染病传播源头都来自它们 | non-hate | non-hate [END]
上海 | 全是苏北人好了 | Region | hate [END]
你 | 应该多了解男朋友,以免再发生类似事情 | non-hate | non-hate [END]
男同性恋 | 在涉世不深时被忽悠甚至被骗的 | LGBTQ | hate [END]
我 | 昨天看到真是气得不行囧 | non-hate | non-hate [END]
舔黑的人 | 在增多 | Sexism | hate [END]
你 | 女权吧派过来搞事的吧 | non-hate | non-hate [END]
黑人暴力 | 基因层面的 | Racism | hate [END]
女的 | 只要敢还一下手,那么后果就不堪设想 | Sexism | hate [END]
饭桶 | 皆深柜 | non-hate | non-hate [END]
钻石 | 在特定条件下会灰飞烟灭 | non-hate | non-hate [END]
女方 | 想隐瞒你也很难知道 | non-hate | non-hate [END]
你 | 给解释一下我不明白 | non-hate | non-hate [END]
地域黑的地方 | 也是存在的 | non-hate | non-hate [END]
地域黑 | 慣例無可避免 | Region | hate [END]
你们媚外的 | 才多吧? | Sexism | hate [END]
我 | 都承认 | non-hate | non-hate [END]
普信的直男 | 不算无差别攻击吧 | non-hate | non-hate [END]
女狗 | 给女狗送温暖 | Sexism | hate [END]
txl | 要绝对力量的介入 | LGBTQ | hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
有些女生 | 真恶心他们有时候想掰弯你就挑逗你,满嘴xing暗示的跟你聊🤣 | Sexism | hate [END]
生孩子都不用去医院 | non-hate | non-hate [END]
河南的分数线 | 简直不能看 | non-hate | non-hate [END]
很多国男喜欢吹的拉美中东女人 | 喜欢国男也不是国男个个alphamale而是靠着韩国男团输出kpop洗脑,所以普通国男跟着沾光 | Sexism, Region, Racism | hate [END]
很多工厂 | 不招贵州人是真怕了贵州人了 | non-hate | non-hate [END]
找黑人作男朋友的女生 | 真的应该好好调查,踩雷机会太大,善待亲人 | Sexism, Racism | hate [END]
工程师 | 工程师 | non-hate | non-hate [END]
你 | 有个黑色的玩伴! | Racism | hate [END]
黑安徽江西 | 最严重的也是你们那吧🤣那就不要怪别人反击 | Region | hate [END]
女拳 | 全女社区 | Sexism | hate [END]
她们 | 大纱布让愿意娶的弱指去娶 | Sexism | hate [END]
嘿人 | 不是起源于嘿人 | Racism | hate [END]
犹太人 | 祸害全球人类各民族罪恶嘴脸 | Racism | hate [END]
黑杂碎贱婢 | 表字***!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! [END]
非洲人 | 打死也不嫁,又穷又老色胚 | Region, Racism | hate [END]
通讯录 | 素质感人 | non-hate | non-hate [END]
我 | 不是会员,我发不了图片 | non-hate | non-hate [END]
圆圈吧 | 出了名的鸡窝都不知道 | non-hate | non-hate [END]
成都 | 基本上只要交了黑人基本上所有人都知道了,毕竟嘴碎 | Region | hate [END]
你 | 同性恋会怎样呢 | non-hate | non-hate [END]
福建 | 做的恶 绝不比上述被黑的地方少 不过是富裕一些罢了 | Region | hate [END]
黑人裤子 | av里面亚洲人也没有大屌啊 | Racism | hate [END]
性少数者 | 就没几个大脑正常的 | non-hate | non-hate [END]
很多跨性别这一辈子都想当女人 | 就开始学一些女人的特征 | Sexism | hate [END]
这边 | 风景独好 | non-hate | non-hate [END]
黑人 | 离大谱,而且很多是有其他各种病的 | Racism | hate [END]
西北某211大学 | 组团黑河南,还是那种理智分析地黑,麻了 | Region | hate [END]
男性 | 多搜集一下男性遭到家暴的例子,然后大规模宣传 | non-hate | non-hate [END]
马克思主义 | 就是马克思主义 | non-hate | non-hate [END]
我 | 身边即世界 | non-hate | non-hate [END]
结婚率 | 血崩 | non-hate | non-hate [END]
我们 | 歧视外地人 | Region | hate [END]
现实就是这样 | non-hate | non-hate [END]
火星人 | 是人好吧 | non-hate | non-hate [END]
她 | 自己不把自己当人 | non-hate | non-hate [END]
这种 | 典型的废物龟♂了 | non-hate | non-hate [END]
牠 | 乱叫而已 | non-hate | non-hate [END]
中国男人 | 要求做供养者,还要作为爱情提供者,这就离谱了 | non-hate | non-hate [END]
你 | 很小几率碰到 | non-hate | non-hate [END]
女拳 | 特别多 | Sexism | hate [END]
gay | 一般即使看上直男也是想被上 | non-hate | non-hate [END]
黑人 | 要在中国呆,就得把皮拔了,染成黄色的 | Racism | hate [END]
外国人 | 不能接受外国人上过的 | non-hate | non-hate [END]
我的朋友 | 我就会包容啊 | non-hate | non-hate [END]
他们 | 不去让他们去采摘园真是可惜了 | non-hate | non-hate [END]
大东北 | 网络媒体很多带节奏的别有用心的人搞事情 | non-hate | non-hate [END]
东北人 | 彻底麻木 | non-hate | non-hate [END]
你 | 早生贵子 | non-hate | non-hate [END]
埃及文明 | 黑人创造的 | Racism | hate [SEP] 埃及 | 闪米特人 | 更像黄种人 | Region | hate [END]
南非 | 不是发达过家恐怕也只有你跪虫族会说它曾经不是它曾经不是它曾经不是它曾经不是它曾经不是它曾经不是它曾经不是它曾经不是 | Racism | hate [END]
河南和东北 | 还是好上很多,夸的不少 | non-hate | non-hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 也够倒霉的 | non-hate | non-hate [END]
男男 | 不要出来恶心我 | non-hate | non-hate [END]
